Media Sources,Compound Score,Positive Score,Neutral Score,Negative Score,Tweet Text,Tweet ID,Date,Time_diff,Tweets Ago
Fox News,0.0,0.0,1.0,0.0,"Bermuda Triangle mystery 'solved,' scientists claim https://t.co/tukmHC65Gg",1024716953477373952,2018-08-01 18:02:14,0.2627777777777778,8
Fox News,-0.2023,0.103,0.759,0.138,.@PressSec: “The president is going to continue to hold China responsible for their unfair trade practices. This ha… https://t.co/88tPrwD83F,1024714941004226560,2018-08-01 17:54:14,0.13333333333333333,9
Fox News,0.6369,0.257,0.743,0.0,".@PressSec: “At the president’s direction, the Department of Treasury is sanctioning Turkey’s Minister of Justice a… https://t.co/6Rfv0qXXZy",1024714102265065473,2018-08-01 17:50:54,0.05555555555555555,10
Fox News,0.5994,0.234,0.766,0.0,.@PressSec: “The White House and FEMA have been actively monitoring the wildfires to ensure that federal assistance… https://t.co/NppvYEkMXo,1024713408657190912,2018-08-01 17:48:09,0.04583333333333333,11
Fox News,0.4981,0.168,0.832,0.0,"NEWS ALERT: Awaiting @WhiteHouse press briefing - For full live coverage, tune in to Fox News Channel! https://t.co/to9cui1hbd",1024709516338884614,2018-08-01 17:32:41,0.2577777777777778,12
Fox News,0.0,0.0,1.0,0.0,.@PressSec Sarah Sanders holds a @WhiteHouse press briefing. https://t.co/SSTYEFbRpp,1024709496772407297,2018-08-01 17:32:36,0.001388888888888889,13
Fox News,0.4404,0.308,0.692,0.0,".@GOPChairwoman: ""People want President Trump's endorsement more than they want President Obama's."" #OutnumberedOT https://t.co/oR0NfCkH1x",1024709241737801729,2018-08-01 17:31:36,0.016666666666666666,14
Fox News,0.0,0.0,1.0,0.0,".@GOPChairwoman: ""@BarackObama didn't get anything done for 8 years that helped average working class families.""… https://t.co/RsgnohwF46",1024708587262816256,2018-08-01 17:29:00,0.043333333333333335,15
Fox News,0.6597,0.278,0.722,0.0,".@GOPChairwoman on the Democratic Party: ""It's a divided party now. They're going further and further left.""… https://t.co/TQdKewi5IU",1024708418077171713,2018-08-01 17:28:19,0.01138888888888889,16
Fox News,0.0,0.0,1.0,0.0,".@GOPChairwoman: ""We look at 2016 and we recognize it was a repudiation of @BarackObama... I don't think a lot of c… https://t.co/IFHiiIW1bH",1024708196764733440,2018-08-01 17:27:26,0.014722222222222222,17
